REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Belgium (incl. Luxembourg 'LU' -> 1998)","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",68349101960
"Belgium (incl. Luxembourg 'LU' -> 1998)","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",73261977422
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",687021990
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",609504601
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",693847338
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",2392301271
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2584856438
"Belgium (incl. Luxembourg 'LU' -> 1998)","Greece","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2267396786
"Belgium (incl. Luxembourg 'LU' -> 1998)","Croatia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",214686684
"Belgium (incl. Luxembourg 'LU' -> 1998)","Croatia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",270499196
"Belgium (incl. Luxembourg 'LU' -> 1998)","Croatia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",695684113
"Belgium (incl. Luxembourg 'LU' -> 1998)","Croatia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",677924474
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",2398957162
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2808494099
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3086865215
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",3061665600
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3586740783
"Belgium (incl. Luxembourg 'LU' -> 1998)","Hungary","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3165806097
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ireland (Eire)","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",15931684521
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ireland (Eire)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",18357181328
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ireland (Eire)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",17079716061
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ireland (Eire)","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",5396473032
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ireland (Eire)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",5230756362
